Kinases,Interaction,Target Protein
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AMPK_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
RPS6KA1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
PKB_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
AKT1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK1_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MAPK3_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
MTOR_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
DYRK2_HUMAN,phosphorylates,['EIF4EBP1_HUMAN']
